,user,location,text
187,pmurray2998,,"RT @alegrafitzgera1: I know this sounds quite mad, but I want to say to Harry and Meghan if you ever find yourself in a situation where it’…"
188,MG6720,,@SoVeryBritish 🤴🏼#spare
189,Patrici81460203,,"RT @kwh_1960: @Independent Same TK Maxx that tweeted about Prince Harry spotted bargain shopping at their store??

Are any Brit journalists…"
190,Magalette1,Germany,RT @ArchLiliHazMeg: James O'Brien‘s reaction to Prince Harry’s memoir #Spare selling 1.4M copies in a day has me in tears 🤣🤣🤣🤣 #Congratulat…
191,Patrici81460203,,"RT @SteveReevesUK: I’ve read #Spare from start to finish, mainly to see what the fuss is about. Seems like an honest, yet very sad story.…"
192,AvidReaderBlog,"Washington, DC","RT @aimee_carter: Since I have a #spare moment, it seems like a good time to mention my new book, ROYAL BLOOD - about a fictional British r…"
193,WarmGingerTea,😡Matt🤬Fucking🤡Gaetz🤢Dist🐊,"RT @ArchewellBaby: Prince Harry's interview on #Colbert has now been viewed 2.1M times on YouTube in the past 24 hrs. 
Harry's TV appearanc…"
194,0x1800,,"Has anybody read #Spare? 

Asking for a friend."
195,ekramibrahim,New York & Everywhere ,Interesting timing that Harry has his memoir #Spare and his #HarryandMeghanNetflix series out after the death of hi… https://t.co/dLki9IeV1M
196,_jude,"Mankato, MN","RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
197,norfolkgirly,Norfolk England,RT @TribesBritannia: The interview was filmed without a live audience due to ‘security concerns’. So all of the applauding and interactions…
198,w_meguyer,Australia,"RT @Freedom16356531: Selfish, ungrateful and disingenuous!

When he doesn’t know the cameras are watching the true #PrinceHarry stands up 😶…"
199,cklovexoxo,,"RT @Mrs_K_Suleiman: Foster is sounding somber, doesn’t he? 😆🤔🎬 #PrinceHarry #Spare"
200,factsgeneration,Nigeria,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
201,DanHall35818675,Bonnie Doon,RT @totallyninja: The fact that bottom feeders like Piers Morgan and Megyn Kelly are both working ovetime on the rage train against Harry a…
202,DavidPaulBooth1,"England, UK, Europe","I mean, fuck me, I could have written a book slagging off the monarchy if someone had told me it would sell like an… https://t.co/ZYE5qArNTx"
203,FiercePm,,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
204,UkRoyalist2022,,"RT @crowndefensx: In his memoir #Spare, Prince Harry claims that the name of the midwife who helped Diana deliver him was Meghan.

""And I r…"
205,yoummaly,,"RT @royal_suitor: TKMaxx: We don’t do sales. 

TK Maxx: Hope you’re loving the January sales. Don’t miss our clearance items.

Ain’t you ti…"
206,Denise60453315,,RT @Davidls6: Congratulations to Harry for having the balls to follow in Diana’s footsteps and stand up to the British establishment. #Spar…
207,Karenknowsbest,Green Gables,RT @Rena62150128: Meghan Markle the gold digger who came to Prince Harry's life with her gold.🤗 We love to see it &amp; the haters know it.💪#sp…
208,That_Guy441,Bermuda,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
209,coasteplife0,,RT @DuchAss0fMSS: 😂😂😂 #Spare #SparebyPrinceHarry #SparePrick #pullmyfinger #fart #PrinceHarryInterview #PrinceHarryExposed #RoyalFamily htt…
210,sarkar_phoebe,,RT @drjjpope: A beautiful read indeed. I didn't want it to end #Spare
211,calps34,"London, England","RT @nomoremonarchs: A TK Maxx spokesman has claimed the store doesn't do ""sales"", so Harry didn't buy clothes during a ""sale"" there. The cl…"
212,DadakeTina,,RT @ChrisBaronSmit1: When a chain store stoops so low and lends itself to a smear campaign by denying its own tweet which is public record.…
213,alice_redknap,Essex ,"RT @claireXanda: We all know,every single person on this earth know if #PrinceHarry wanted,he would have beat #PrinceWilliam till his last…"
214,RP360alt,,"RT @WillsWindsor: Due to the success of #Spare I will also be publishing my memoir titled #Hair detailing my familiar scowl, my alarming ba…"
215,marfeluca,"Manhattan, NY","Domanda ""secca"":

MA QUESTO INFIMO PERSONAGGETTO NON SI VERGOGNA NEMMENO UN PO'?!?

🔥🇬🇧🔥
#HARRY #SPARE
#LucaMarfé… https://t.co/nmsoetxpL6"
216,KayCtyGOP,"Oklahoma, USA","@Queens_Avenger @salbre81 @simonjedge @PhilipHensher He also has a brother two years older who suffered, but I gues… https://t.co/gEkiZP8O8R"
217,Patrici81460203,,RT @Bubbaballoon: @NileGardiner I am glad #Spare is so successful.  Now 1.4 million can read what Prince Harry said in context and make the…
218,pinkcakecream,,"RT @canttbetamedg: Imagine if, instead of being horrified by Meghan's curtsy, people were horrified that Pope Francis promoted a Priest who…"
219,peltzmann,,"RT @fericih: Imagine having this level of obsession towards someone, to the point where you neglect your home and health fixating on strang…"
220,lukealb,Italy,@_av0n Questo sketch simil Iene sui libri è quasi divertente (anche se funzionale al lancio di #Spare) #SplendidaCornice
221,Patrici81460203,,"RT @jade_obscure: So talking about it as a #tampon to your mistress is ok, but you can't call it a #todger.

Or even give it some TLC 😂😂😂 #…"
222,My_Licked_Words,"London, England","RT @TvKhaleesi: WHOA!!! Prince Harry’s book #Spare sold 1.43 million copies in one day. 
https://t.co/kmyaGbz4Cy"
223,hmal007,,"RT @DBrown99944: So in his zeal to find veterans to bash #PrinceHarry chief stalker, Piers Morgan brought on none other than the man who ki…"
224,MizFlagPin,,"While the British tabloids are leading with the TK Maxx lie, a real researcher has dug up official monarch receipts… https://t.co/q61hGIlmZd"
225,Magalette1,Germany,"RT @ArchewellBaby: Prince Harry's interview on #Colbert has now been viewed 2.1M times on YouTube in the past 24 hrs. 
Harry's TV appearanc…"
226,kimooshey,Melbourne,How many people were polled? What a load of rubbish! #AustralianMedia just as toxic as the #ToxicBritishMedia harmf… https://t.co/XBzfIyHxOE
227,MawandaAllan10,"Johannesburg, South Africa",RT @byetwit: #SparebyPrinceHarry  talking abt the #RacistRoyalFamily social media page leaving vile comments abt M reminds me how quickly t…
228,coco58438925,,RT @Freedom16356531: #PrinceHarry starts the fights and people finish it 🤦🏾‍♂️ #Spare #SparebyPrinceHarry #SpareUs https://t.co/4bfoD2ynR3
229,Patrici81460203,,"RT @kwh_1960: Same  @TKMaxx_UK that tweeted about Prince Harry spotted bargain shopping at their store??

Are any Brit journalists aware of…"
230,Nenneh98603445,,"RT @Caeso_K: Harry said a ""Fleet Street jury"" warned he and Meghan they should ""expect no mercy"" for stepping back from their duties.

Yes,…"
231,JanewayMiss,"Canada, Earth, Solar System.","#Spare
The #RoyalFamily kept #PrinceHarry cash &amp; food poor. So Food poor that #Willy complained about Harry eating… https://t.co/iCFCYAy05P"
232,kimmyann1111,WA,RT @yoon_strawberry: I gained more respect and admiration for Prince Harry after reading #Spare. I have yet to finish the book but so far w…
233,Patrici81460203,,"RT @irinamtc: @PiersUncensored @jameshaskell @piersmorgan @TalkTV haters won't admit this, but the book is full of love for his family, eve…"
234,Gommster,"Devon, England",RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
235,pmurray2998,,"RT @primalbeautynat: #Spare While Megan was making moves, in care commercial modelling, writing lifestyle blog, acting Harry was waiting on…"
236,DianaGordineer,,"RT @SophieCaligirl: 🔥🔥🔥🔥🔥😱This story below is about #PrinceHarry and two alleged victims of his abuse, one in the UK and one recent inciden…"
237,BrandonHoya2010,,RT @royal_suitor: #PrinceHarry’s memoir #Spare is now the fastest-selling non-fiction book in @penguinrandom history with 1st day sales of…
238,anne_marchant,"Sydney, New South Wales","RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
239,priscigzz,,RT @royal_suitor: #Prince Harry’s appearance on @ColbertLateShow scored the largest weeknight audience for the show in more than 2 years wi…
240,Dee43521705,,"RT @WillsWindsor: Due to the success of #Spare I will also be publishing my memoir titled #Hair detailing my familiar scowl, my alarming ba…"
241,QueenCityBird,In the Multiverse,"RT @MoririBy: TK Maxx has no integrity.
#Spare
#PrinceHarryMemoir https://t.co/FnAtw8272h"
242,jadegarin2,,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
243,anto_dange,Naples (Italy),Edizione napoletana #spare #SparePrinceHarry #SpareBestSeller https://t.co/t6qWmCwOL6
244,soletiole2912,,"RT @ArchewellBaby: If it's out there, Sussexsquad will find the receipt.
#Spare"
245,MrM_Racoon,,RT @HaViewsmyown: #Spare is Diana’s revenge. Thank you Harry for standing up for mum. And wife. Quite the legacy for your kids. #AbolishThe…
246,Yejinshand1,🇨🇦,"RT @DBrown99944: So in his zeal to find veterans to bash #PrinceHarry chief stalker, Piers Morgan brought on none other than the man who ki…"
247,julietmaxi,"Cypress, Texas","RT @NicsuPR: … “I couldn’t think of a single human being in the 300,000 year history of the species who’d done more damage to our collectiv…"
248,Patrici81460203,,"RT @BGWritesStuff: And by the way: at the turn of the 20th century, it was quite common for wealthy American ""society"" women to marry Briti…"
249,Dee43521705,,RT @JoDivaRunner: Harry injured his knee participating in military exercises while on Royal duty and his entry into the military had to be…
250,flissatea,ENGLAND,"RT @colbertlateshow: “The ginger gene is a strong one.” — Prince Harry reveals if he sees his relatives in his children Archie &amp; Lilibet, n…"
251,Nenneh98603445,,"RT @Mediaguy19: The Independent now has Geordie Creig as editor, royal insider and close friend of Camilla and former editor of the Daily M…"
252,DadakeTina,,"RT @NicsuPR: Funny, Harry may have married one of his more UK aligned girlfriends if the  #ToxicBritishMedia hadn’t chased them away - open…"
253,soletiole2912,,RT @KajolMomento: It's official: 1.4M sales on its 1st day! #Spare😂😂Congrats P.Harry👏🏼👏🏼 https://t.co/nF6htyWTMq
254,aussieg60027678,,"RT @BaronessBruck: Fact checker, she said‼️💥🤦🏻‍♀️ “Researcher”, she said‼️😜

Hilary McClellen of Sabele Editorial is the person singled out…"
255,AishaRaihanna,,RT @ingek73: Meghan bought lamps and space heaters for the staff in their dark&amp;cold offices WITH HER OWN CREDITCARD?!?! Harry I love you bu…
256,UgandanPapoose,,RT @ArchLiliHazMeg: James O'Brien‘s reaction to Prince Harry’s memoir #Spare selling 1.4M copies in a day has me in tears 🤣🤣🤣🤣 #Congratulat…
257,soletiole2912,,RT @ingek73: Meghan bought lamps and space heaters for the staff in their dark&amp;cold offices WITH HER OWN CREDITCARD?!?! Harry I love you bu…
258,illrev2,"North East, England","RT @jasonrector: Also, if you’re more mad at Prince Harry writing a book than Prince Andrew being a pedophile, check yourself. #Spare"
259,mockteam,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
260,WillBlackWriter,"Cambridge, Europe",RT @WillBlackWriter: You don't have to be a member of the #SussexSquad to recognise that Prince Andrew is playing a MUCH greater role in th…
261,Glory20035,,"RT @Mediaguy19: The Independent now has Geordie Creig as editor, royal insider and close friend of Camilla and former editor of the Daily M…"
262,Zarankansah,,"RT @SussexsquadP: Finished #Spare. My tears, barely kept at bay, from the 1st word to the end when Harry insisted on bringing Lili into the…"
263,Patrici81460203,,"RT @shimla321: @GMB Harry has more right to be at the Coronation than Camilla imho.

#Spare 
#HarryTheInterview"
264,TroySpe55314843,"London, England",RT @totallyninja: The fact that bottom feeders like Piers Morgan and Megyn Kelly are both working ovetime on the rage train against Harry a…
265,HRHStillStacie,North Carolina & SW5 London UK,RT @daisdais_10: The British Royal Family dress like this but are silent when their media dogs are sympathizing with terrorists who killed…
266,pinkcakecream,,For those who love history and enjoyed #Spare you would appreciate this book that breaks down how Pope Francis prom… https://t.co/ZWtHOPOPgG
267,RobSmit10552021,,RT @royal_suitor: #Spare’s 1st print run in France was 210K books. French publisher Fayard has already sent an additional 130K to print bas…
268,Dannie39484202,Beautiful Pacific N.W. ,RT @DuchAss0fMSS: 😂😂😂 #Spare #SparebyPrinceHarry #SparePrick #pullmyfinger #fart #PrinceHarryInterview #PrinceHarryExposed #RoyalFamily htt…
269,sunrayleo1,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
270,stephie_88,"canada,montréal",RT @royal_suitor: #PrinceHarry’s memoir #Spare is now the fastest-selling non-fiction book in @penguinrandom history with 1st day sales of…
271,Marshaj71221242,,RT @ArchLiliHazMeg: James O'Brien‘s reaction to Prince Harry’s memoir #Spare selling 1.4M copies in a day has me in tears 🤣🤣🤣🤣 #Congratulat…
272,yorukoglu_asli,"San Antonio, TEXAS",@ledbettercarly İ have just learned that Harry the fake Prince wrote in #SPARE That he rubbed  Diana's favorite cre… https://t.co/gJs4XCOTv2
273,BonsXtheFuture,"Roma, Lazio","RT @nicolasavoia: Tom: Perchè ha scritto questa storia?
#Harry: Perchè per 38 anni lo hanno fatto gli altri per me

#RealTime #intervistapr…"
274,sporks,Western WA,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
275,Patrici81460203,,"RT @chesscap: #spare . To those who believe that Harry's comments about unconscious basis were not true .
Here is a reminder of what was po…"
276,pmurray2998,,"RT @TvKhaleesi: WHOA!!! Prince Harry’s book #Spare sold 1.43 million copies in one day. 
https://t.co/kmyaGbz4Cy"
277,Mary04989378,,"RT @nomoremonarchs: William &amp; Kate are putting ""a spotlight"" on mental health today. They pretend to care &amp; tell people to get help. But th…"
278,Glory20035,,"RT @Mu_Ri_Elle: (Video in French)

#PrinceHarry's book is a bestseller in France 🇫🇷 

- #Spare is selling 20% more than Barack Obama's memo…"
279,KerriRN73,NJ,RT @ArchewellBaby: Prince Harry sold 50% of the books printed for the US in 24 hours. Selling 1M of the 2M copies printed and beating Barac…
280,jeanne_gelbert,"Anna Maria Island, Florida",RT @C0C0AM: Loving that every evil headline the #britishmedia put out gets crushed by the success of #Spare. #SparebyPrinceHarry #sparebyha…
281,BrexitLondon,"On GAB, Parler. I Follow Back.",New YouGov UK poll: Prince #Harry's book is out &amp; he &amp; his wife have now fallen to their lowest level of support.… https://t.co/Wk1r0Wwz5j
282,Dannie39484202,Beautiful Pacific N.W. ,"RT @DuchAss0fMSS: Say NO to drugs, kids!  #Spare #SparebyPrinceHarry #SparePrinceHarry https://t.co/aWlyokD1EL"
283,ashleyeleigh,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
284,JoziBillie,South Africa,"RT @ArchewellBaby: Prince Harry's interview on #Colbert has now been viewed 2.1M times on YouTube in the past 24 hrs. 
Harry's TV appearanc…"
285,Loraine54087837,,RT @yoon_strawberry: I gained more respect and admiration for Prince Harry after reading #Spare. I have yet to finish the book but so far w…
286,Patrici81460203,,"RT @Judyinrichmond: Media: we don’t get briefed by the palace, Harry is talking 💩

Also Media: 👇🏾👀

#ToxicBritishMedia #spare #HarryTheInte…"
287,nowMrsMFL,N.Ireland ➡️ Essex/Suffolk,@breidanne reading it alongside my #Spare ! Haven’t finished it yet 👍🏻
288,zannoni_anna,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
289,DystopicRedhead,United Kingdom,"RT @AzlinBloor: I went from nah, to maybe, to hell, yes. All thanks to the #ToxicBritishMedia 
So well done guys, for pushing up sales. I'm…"
290,MeliyaWest,,"RT @tiny_toff: #Spare #PrinceHarryExposed
Harry admits that ""His truth"" is NOT the truth, but says we should believe it anyway, because tha…"
291,lynnj8110,"England, United Kingdom","RT @NicsuPR: Funny, Harry may have married one of his more UK aligned girlfriends if the  #ToxicBritishMedia hadn’t chased them away - open…"
292,i0am0me0,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
293,stephie_88,"canada,montréal",RT @ArchewellBaby: Prince Harry sold 50% of the books printed for the US in 24 hours. Selling 1M of the 2M copies printed and beating Barac…
294,JayMerold,,RT @SarahData_: Prince Harry claimed that the campaign to rehabilitate Camilla’s reputation “left a lot of bodies in the streets” #Spare…
295,robert2hartley,Worcestershire England ,RT @SaraWoo92447376: If Thomas Markle's allegations about Doria's drugs history are true and H&amp;M knew about it then how dare they introduce…
296,Wpoptruth,,"RT @DBrown99944: So in his zeal to find veterans to bash #PrinceHarry chief stalker, Piers Morgan brought on none other than the man who ki…"
297,VikingPeach55,,"RT @Freedom16356531: Selfish, ungrateful and disingenuous!

When he doesn’t know the cameras are watching the true #PrinceHarry stands up 😶…"
298,CAgyemfra,"Washington, DC","RT @ArchewellBaby: ""People often speculated that I was clinging to my bachelor life because it was glamorous. Many evenings I'd think if on…"
299,HatPlatz,"Berlin, Deutschland",@_the_crown_uk @RoyalDickie @penguinrandom You two aren't really talking about the common practice of lying in the… https://t.co/9y1KqZKp3q
300,AlstonCeleste,,RT @royal_suitor: Of course he found the @colbertlateshow audience member during the break and gave her a hug. This is Prince Harry. 🤗 #Spa…
301,SueAtkins,"Warlingham,Surrey",Grief support for #children   in #TheSueAtkinsBookClub by #author @TheKidDecoder #HarryTheInterview… https://t.co/IGdQ05kZJB
302,Loraine54087837,,RT @ingek73: Meghan bought lamps and space heaters for the staff in their dark&amp;cold offices WITH HER OWN CREDITCARD?!?! Harry I love you bu…
303,Karenknowsbest,Green Gables,"RT @CLE_Lauren: I’m reading #Spare and it’s not at all what I thought it would be.

Halfway through, and it’s this far shown only tendernes…"
304,Patrici81460203,,"RT @BGWritesStuff: So it is WELL KNOWN amongst high society American women that British royalty has pomp &amp; circumstance but is, dollars &amp; c…"
305,Helenga64352658,,"RT @Freedom16356531: People in #America have had enough 🇺🇸 

#HarryisaBackstabbingLiar #Spare
#PrinceHarry #HarryandMeghan #HarryHasGoneMad…"
306,FifySimpson,Greed Island,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
307,Glory20035,,"RT @jade_obscure: Well, the the #TKMaxx UK Retail Director's LinkedIn pic is ... one of him with #KingCharlesTheCruel 😂. And TK Maxx are in…"
308,Ware15Sherry,,"RT @byetwit: @nomoremonarchs So to ""debunk"" #Spare, #CamillaQueenofBullies friend royalist Geordie Greig who now runs the Independent has a…"
309,unemployed_fla,Florida,"RT @JNM271: Harold said “Oh no bitch, I’m telling my own spiked tea 🫖 “ and I can’t stop reading. 
#PrinceHarry #Spare https://t.co/ETEDpoJ…"
310,Loraine54087837,,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
311,Nenneh98603445,,"RT @nomoremonarchs: A TK Maxx spokesman has claimed the store doesn't do ""sales"", so Harry didn't buy clothes during a ""sale"" there. The cl…"
312,DystopicRedhead,United Kingdom,RT @DomajorReminor: The funny thing is #Spare sold a lot of copies even within the UK. The #ToxicBritishMedia try to spin and make it look…
313,Ware15Sherry,,"RT @nomoremonarchs: A TK Maxx spokesman has claimed the store doesn't do ""sales"", so Harry didn't buy clothes during a ""sale"" there. The cl…"
314,2Fzo5,,RT @galatea_fashion: #Oscars2023 #Spare #HarryandMeghanExposed https://t.co/cM4kiQIVXr
315,TychoNestoris1,"North West, England","RT @ChannelUK1: 🟥  ""The most racist person featured in this book is Meghan""

- Candace Owens

#HarryandMeghanNetflix #harry #MeghanMarkIe #…"
316,ryitodesol,,RT @royal_suitor: #PrinceHarry’s memoir #Spare is now the fastest-selling non-fiction book in @penguinrandom history with 1st day sales of…
317,LabourLeak,Little England,RT @Thelma_DWalker: I watched the “Harry” interview on ITV last night. It was so obvious to me that he was speaking the truth. He’s calling…
318,nubiha,"São Paulo, BR",RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
319,Patrici81460203,,"RT @Bubbaballoon: @PiersUncensored @ArthurJEdwards @piersmorgan @TalkTV #enddomesticviolence
I am glad #Spare is so successful.  Now 1.4 mi…"
320,KaffeMedSukker,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
321,DianeDeHan,"California, USA","RT @Stefie0611: H&amp;M this is what real work looks like! 
#ShutUpHarryAndMeghan #Spare us!"
322,Frannn__xo,❌,RT @royal_suitor: Of course he found the @colbertlateshow audience member during the break and gave her a hug. This is Prince Harry. 🤗 #Spa…
323,Patrici81460203,,"RT @Natalie_Wh_ite: Kids finally in bed, my night off from cooking…I’m going in! #Spare #PrinceHarry https://t.co/8m5Q4cFLGE"
324,Meritocraticist,,"RT @SussexsquadP: Finished #Spare. My tears, barely kept at bay, from the 1st word to the end when Harry insisted on bringing Lili into the…"
325,Nenneh98603445,,"RT @Kendall_Ashley: I’ve been digging into #Spare today, and it’s such an amazing read. I’m obsessed. I am so impressed at how @JRMoehringe…"
326,Ces_gurl,,RT @royal_suitor: #Spare’s 1st print run in France was 210K books. French publisher Fayard has already sent an additional 130K to print bas…
327,Bubbaballoon,"Belfast, Northern Ireland",@LizzieITV #Spare me!
328,Sherrykailan,,"@GillG25966996 @domwakeford That's not the context of what he said. This is vile. #spare 
You proved #harryandmaghan right."
329,Patrici81460203,,"RT @election_every: @ArchewellBaby #HarryandMegan are happy too!

Meghan wins ""People's Choice"" Award

2022 full of projects

1st Netflix s…"
330,peanutastronaut,"Blue Dem in red Lafayette, IN","RT @TribesBritannia: According to Prince Harry ‘cause and effect’ are just fables.

He is also an advocate of ‘alternative facts’. 

He is…"
331,CarolBiddle67,,"RT @TribesBritannia: Wow, even the sawdust munching Leninist, IRA Loving The Guardian are mocking Prince Harry 

#Spare 

 https://t.co/9vn…"
332,AlmaV95,ITALIA,"Forse era onnipresente proprio per lo stesso motivo per cui era indescrivibile: perché era luce, una luce pura e ra… https://t.co/jaB1vSuM0a"
333,SPascoalLima,"England, United Kingdom",#spare #Taliban #spare https://t.co/aLehZbQDPu
334,CarolBiddle67,,"RT @Freedom16356531: Selfish, ungrateful and disingenuous!

When he doesn’t know the cameras are watching the true #PrinceHarry stands up 😶…"
335,Denise60453315,,RT @ArchewellBaby: Prince Harry sold 50% of the books printed for the US in 24 hours. Selling 1M of the 2M copies printed and beating Barac…
336,LilacFire,Lower Mainland BC Canada,Who did @colbertlateshow round up for the fake audience &amp; how so many so suddenly? Employees? Why hide it? #honesty… https://t.co/11WGEQg8Cg
337,MagsTheObscure,"Donegal, Ireland",RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
338,robert2hartley,Worcestershire England ,"RT @SaraWoo92447376: I'm curious, I haven't seen or heard a peep from M, is she giving him freedom to express himself or room to hang himse…"
339,Oohmygums,,"RT @nomoremonarchs: A TK Maxx spokesman has claimed the store doesn't do ""sales"", so Harry didn't buy clothes during a ""sale"" there. The cl…"
340,Mogz169,,"RT @MrsMe15556009: Busy day at work, log on to see the whole world b1tch-slapping #TKMaxx with #Receipts 😂😂😂😂 #TKMaxx @TKMaxx_UK WHY YOU LY…"
341,doc_halegaleh,Sydney,RT @Freedom16356531: #LadyC says there is a reason why #BuckinghamPalace press office exists. They have battled the media many times for #P…
342,DaytimeDan,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
343,RachelT95511873,,"RT @yoon_strawberry: I love the part of their first Botswana date when Meghan was opening her suitcase, Harry stereotyped and thought that…"
344,Patrici81460203,,"RT @BGWritesStuff: So let's NOT with this idea of ""the American woman is the gold digger"" because she not only had her OWN money but they w…"
345,linsteadharmony,,RT @royal_suitor: Yes Prince Harry really shopped at TK Maxx. This is similar to the story about his military service. What was a tabloid e…
346,baby_cuete,"Fresno, CA",RT @JoDivaRunner: Harry injured his knee participating in military exercises while on Royal duty and his entry into the military had to be…
347,Winnie89679799,,"RT @SophieCaligirl: 🔥🔥🔥🔥🔥😱This story below is about #PrinceHarry and two alleged victims of his abuse, one in the UK and one recent inciden…"
348,soletiole2912,,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
349,e4billycab,north finchley,RT @mailplus: The latest episode of #PalaceConfidential is here! Watch our panel @jo_elvin @richardaeden @RE_DailyMail discuss the latest c…
350,Patrici81460203,,RT @Bubbaballoon: @GBNEWS I am glad #Spare is so successful.  Now 1.4 million can read what Prince Harry said in context and make their own…
351,eyo_omat,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
352,BillEarleySD,"Sioux Falls, SD","@rodbishop15 So, if Harry's book isn't your cup of tea, you could pick up a copy of #TheCoin you see. #Spare… https://t.co/GjNuxUVb1j"
353,soletiole2912,,"RT @SussexsquadP: Finished #Spare. My tears, barely kept at bay, from the 1st word to the end when Harry insisted on bringing Lili into the…"
354,17_audie,,RT @munyachawawa: A moment of silence for the sound engineer who recorded Prince Harry's audiobook 😳🫣 #princeharry #spare https://t.co/JFgg…
355,Shani52699309,,RT @ArchHazLiliMeg: “Have a quick look at the reaction he got on this late show last night”😂😂😂 #Spare #PrinceHarry https://t.co/IinDmSttMr
356,Patrici81460203,,RT @canttbetamedg: So #spare allows people to see the problems within the institution and how Harry and Meghan were not protected. We know…
357,77sylvia,"Northern Ireland, United Kingd","RT @DBrown99944: So in his zeal to find veterans to bash #PrinceHarry chief stalker, Piers Morgan brought on none other than the man who ki…"
358,vickidelany,"Prince Edward County, Ontario",Harry and Me. #spare #PrinceHarrySpare #BestSellers #newbooks #SherlockHolmes #Barnesandnoble https://t.co/a0vC4Lq0qt
359,aufreedom,,"RT @WillsWindsor: Due to the success of #Spare I will also be publishing my memoir titled #Hair detailing my familiar scowl, my alarming ba…"
360,ms_opinion,Noneyabusiness,"RT @byetwit: Just remember the pearl clutchers who are ""shocked"" by the revelations  in #PrinceHarry's moving memoir-#Spare 

weren't ""shoc…"
361,PetrieHosken,,RT @mailplus: The latest episode of #PalaceConfidential is here! Watch our panel @jo_elvin @richardaeden @RE_DailyMail discuss the latest c…
362,Han2heart,,In #Spare Harry calls out toxic institutions. We should care for kid's mental health and now in this book we can re… https://t.co/wcXkYhRwFm
363,Patrici81460203,,RT @Grooveamandatom: Sobbing at the rhino story in #spare
364,VampireAngel91,,RT @ArchLiliHazMeg: James O'Brien‘s reaction to Prince Harry’s memoir #Spare selling 1.4M copies in a day has me in tears 🤣🤣🤣🤣 #Congratulat…
365,Ces_gurl,,RT @royal_suitor: ““Before I could even take them out of the box I had people coming into the store looking for copies.” Mulroney said they…
366,baby_cuete,"Fresno, CA","RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
367,paraguayahere,"Grand Rapids, MI",RT @claireXanda: Apparently #PrinceWilliam attacked #PrinceHarry after Harry told him that he wasn’t in any position to give any marriage a…
368,Magpie100317,,"RT @ArchewellBaby: The TK Maxx thing might seem  trivial or a distraction, but it's really not. It's just one more thing that shows what Pr…"
369,soletiole2912,,"RT @royal_suitor: 😲 I knew it was a big number. Didn’t realize it was this big. As we’re reminded with Prince Harry, context is everything.…"
370,MrM_Racoon,,RT @troubleshade: I can see why Kate has no girlfriends on her own. The woman doesn’t know how to be sociable/friendly with anyone that is…
371,lee_migliorini,,RT @Freedom16356531: #LadyC says there is a reason why #BuckinghamPalace press office exists. They have battled the media many times for #P…
372,Virgola1973,,"RT @annidicera: Quella volta che #Harry ha scoperto che solo #william sarebbe diventato Re 

#Spare https://t.co/9chxnoSufy"
